0,593,0,51,0,1,7,1346,389
0,632,2,35,0,1,7,160,15
0,203,2,10,2,0,2,1866,10
0,0,1,36,1,1,4,182,26
0,401,2,10,2,0,6,621,39
0,38,2,25,2,1,5,1601,41
0,440,0,119,2,1,6,1078,44
0,335,0,91,2,0,5,2403,9
0,272,2,41,0,0,1,182,31
0,464,2,83,2,0,4,11,31
0,68,0,27,1,0,7,769,39
1,2293,0,92,1,1,11,4688,57
1,4434,1,237,1,1,15,4023,87
1,1988,0,200,2,1,14,4866,97
1,2997,2,231,1,1,15,4640,64
1,3069,1,149,0,1,15,4762,85
1,2637,2,162,0,1,6,4399,100
1,5605,2,204,2,0,15,4661,48
1,4704,1,239,0,1,9,4217,98
1,3290,0,205,0,0,20,4702,51
1,6830,1,191,2,0,13,4969,57
1,3914,0,178,2,1,10,4733,58
1,3367,2,207,2,0,10,3269,63
1,4135,1,206,2,1,17,4755,92
1,5350,2,111,2,0,16,4394,52
1,1075,2,122,1,1,13,3921,58
1,1318,0,187,2,1,19,4323,85
1,7955,0,191,2,1,16,4860,89
1,6207,2,168,0,0,17,4282,100
1,5514,0,169,2,0,20,4431,74
1,4768,2,151,1,1,7,3959,58
1,6168,0,208,1,0,9,2747,80
1,3911,0,213,1,0,13,3662,88
1,822,1,100,1,0,16,2858,46
1,2115,1,197,0,0,17,4255,96
1,1982,2,157,2,1,14,4281,58
1,7835,2,188,2,0,14,2703,76
1,6466,1,155,1,0,18,3212,62
1,3085,2,228,2,0,19,4955,41
1,5877,1,116,1,1,9,3353,59
1,6704,2,99,2,0,14,3819,71
1,1603,1,146,1,0,13,4511,72
1,4444,1,114,2,0,9,4209,51
1,3719,0,223,0,0,16,4083,44
1,5720,1,115,2,0,9,4622,61
1,2819,2,207,1,0,17,3044,45
1,7791,0,238,2,0,16,3278,84
1,7986,0,99,2,0,8,3078,71
1,7452,2,196,2,0,13,3741,72
1,4207,0,146,0,1,18,3358,97
1,5879,2,110,1,0,12,2837,95
1,3723,2,95,1,0,12,4040,45
1,6928,2,152,0,1,13,4947,61
1,3255,1,96,0,1,10,2735,59
1,3378,2,198,0,0,12,3073,58
1,2953,2,95,2,0,14,4693,99
1,6131,0,208,0,1,11,4758,43
1,1575,0,122,1,0,10,4216,70
1,6399,1,173,0,1,11,4957,70
1,2874,0,184,0,1,18,4807,54
1,7229,2,170,0,0,7,4942,49
2,11554,3,228,2,1,17,5086,157
2,10978,1,286,3,0,16,6010,117
2,9437,1,236,2,0,15,5628,148
2,12042,1,276,2,0,15,4936,173
2,8891,3,246,4,1,17,5679,83
2,11301,1,278,2,0,12,5308,153
2,10658,2,284,5,0,22,6141,168
2,6981,1,223,2,2,24,6904,156
2,7719,2,238,1,0,22,4635,199
2,9267,1,227,1,2,15,5723,185
2,12279,3,272,1,0,21,5529,126
2,8589,3,244,5,2,18,5700,149
2,11090,3,245,5,2,25,4664,164
2,8696,2,297,4,1,13,5808,150
2,6792,3,222,5,0,16,5778,100
2,11379,1,229,1,0,24,5143,113
2,6524,1,290,2,2,21,5297,134
2,12988,1,291,4,0,14,6856,125
2,7957,2,256,3,1,20,6276,105
2,8338,1,239,1,2,13,5337,95
2,9826,2,293,3,1,25,5991,84
2,9522,3,293,4,0,19,5787,80
2,10053,3,268,3,2,21,4662,119
2,11898,1,277,5,2,13,6634,169
2,12153,2,284,3,0,15,5591,193
2,12865,1,292,4,1,22,5874,142
2,11234,2,268,4,0,12,6553,103
2,8886,2,282,5,0,23,5545,116
2,8779,3,286,2,2,20,5703,82
2,7710,2,259,5,2,14,5644,195
2,8057,1,249,3,0,14,4812,138
2,12194,2,256,3,0,24,4673,176
2,6825,1,227,1,0,15,6786,183
2,9844,2,263,4,2,12,5472,182
2,12737,2,267,3,2,14,5367,135
2,7198,2,226,4,1,19,5405,147
2,10192,3,277,1,2,16,4808,167
2,11642,2,241,5,0,15,6726,189
2,12914,2,294,5,1,21,4896,141
2,12003,3,248,3,0,17,6802,131
2,9399,3,295,5,1,24,6317,188
2,12955,3,255,5,1,24,5253,86
2,12110,3,270,1,1,13,4936,163
